,strain,num_similar,ids
150,CCC012,3,"['CCC012_opa_2', 'CCC012_opa_4', 'CCC012_opa_1']"
151,CCC012,2,"['CCC012_opa_11', 'CCC012_opa_6']"
152,CCC013,2,"['CCC013_opa_11', 'CCC013_opa_2']"
153,CCC014,2,"['CCC014_opa_3', 'CCC014_opa_8']"
154,CCC015,2,"['CCC015_opa_8', 'CCC015_opa_3']"
155,CCC016,2,"['CCC016_opa_1', 'CCC016_opa_8']"
156,CCC016,2,"['CCC016_opa_4', 'CCC016_opa_2']"
157,CCC016,2,"['CCC016_opa_3', 'CCC016_opa_6']"
158,CCC017,2,"['CCC017_opa_6', 'CCC017_opa_10']"
159,CCC017,2,"['CCC017_opa_3', 'CCC017_opa_8']"
160,CCC017,2,"['CCC017_opa_9', 'CCC017_opa_7']"
161,CCC020,4,"['CCC020_opa_6', 'CCC020_opa_11', 'CCC020_opa_10', 'CCC020_opa_8']"
162,CCC020,2,"['CCC020_opa_4', 'CCC020_opa_3']"
163,CCC020,2,"['CCC020_opa_7', 'CCC020_opa_9']"
164,CCC028,3,"['CCC028_opa_7', 'CCC028_opa_1', 'CCC028_opa_2']"
165,CCC028,2,"['CCC028_opa_10', 'CCC028_opa_8']"
166,CCC028,2,"['CCC028_opa_4', 'CCC028_opa_5']"
167,CCC033,2,"['CCC033_opa_1', 'CCC033_opa_10']"
168,CCC033,2,"['CCC033_opa_2', 'CCC033_opa_11']"
169,CCC048,3,"['CCC048_opa_9', 'CCC048_opa_3', 'CCC048_opa_7']"
170,CCC048,2,"['CCC048_opa_6', 'CCC048_opa_8']"
171,CT213,6,"['CT213_opa_6', 'CT213_opa_11', 'CT213_opa_10', 'CT213_opa_2', 'CT213_opa_1', 'CT213_opa_3']"
172,CT213,2,"['CT213_opa_8', 'CT213_opa_5']"
173,CT530,2,"['CT530_opa_6', 'CT530_opa_4']"
174,CT532,3,"['CT532_opa_11', 'CT532_opa_6', 'CT532_opa_8']"
175,CT532,3,"['CT532_opa_5', 'CT532_opa_4', 'CT532_opa_2']"
176,CT602,2,"['CT602_opa_3', 'CT602_opa_10']"
177,CT602,4,"['CT602_opa_8', 'CT602_opa_11', 'CT602_opa_2', 'CT602_opa_6']"
178,CT602,2,"['CT602_opa_7', 'CT602_opa_9']"
179,DDD001,2,"['DDD001_opa_3', 'DDD001_opa_8']"
180,DDD001,2,"['DDD001_opa_6', 'DDD001_opa_4']"
181,DDD029,2,"['DDD029_opa_9', 'DDD029_opa_2']"
182,DDD029,2,"['DDD029_opa_3', 'DDD029_opa_7']"
183,DDD031,2,"['DDD031_opa_7', 'DDD031_opa_1']"
184,DDD031,3,"['DDD031_opa_2', 'DDD031_opa_11', 'DDD031_opa_6']"
185,DDD031,2,"['DDD031_opa_3', 'DDD031_opa_8']"
186,DDD034,2,"['DDD034_opa_2', 'DDD034_opa_9']"
187,DDD034,2,"['DDD034_opa_3', 'DDD034_opa_7']"
188,DDD038,3,"['DDD038_opa_2', 'DDD038_opa_9', 'DDD038_opa_8']"
189,DDD038,2,"['DDD038_opa_3', 'DDD038_opa_7']"
190,DDD046,3,"['DDD046_opa_8', 'DDD046_opa_2', 'DDD046_opa_10']"
191,DDD046,2,"['DDD046_opa_3', 'DDD046_opa_11']"
192,DDD046,2,"['DDD046_opa_5', 'DDD046_opa_6']"
193,DDD046,2,"['DDD046_opa_9', 'DDD046_opa_7']"
194,EEE004,2,"['EEE004_opa_4', 'EEE004_opa_1']"
195,EEE004,3,"['EEE004_opa_11', 'EEE004_opa_2', 'EEE004_opa_8']"
196,EEE004,2,"['EEE004_opa_5', 'EEE004_opa_3']"
197,EEE013,2,"['EEE013_opa_1', 'EEE013_opa_10']"
198,EEE013,2,"['EEE013_opa_8', 'EEE013_opa_6']"
199,EEE014,2,"['EEE014_opa_1', 'EEE014_opa_5']"
200,EEE014,2,"['EEE014_opa_10', 'EEE014_opa_8']"
201,EEE015,2,"['EEE015_opa_10', 'EEE015_opa_8']"
202,EEE015,3,"['EEE015_opa_7', 'EEE015_opa_6', 'EEE015_opa_2']"
203,EEE016,2,"['EEE016_opa_1', 'EEE016_opa_8']"
204,EEE016,2,"['EEE016_opa_4', 'EEE016_opa_7']"
205,EEE018,2,"['EEE018_opa_1', 'EEE018_opa_10']"
206,EEE018,2,"['EEE018_opa_11', 'EEE018_opa_8']"
207,EEE018,4,"['EEE018_opa_4', 'EEE018_opa_2', 'EEE018_opa_3', 'EEE018_opa_5']"
208,EEE019,2,"['EEE019_opa_1', 'EEE019_opa_2']"
209,EEE019,2,"['EEE019_opa_10', 'EEE019_opa_5']"
210,EEE019,2,"['EEE019_opa_3', 'EEE019_opa_4']"
211,EEE019,2,"['EEE019_opa_8', 'EEE019_opa_6']"
212,EEE020,2,"['EEE020_opa_10', 'EEE020_opa_6']"
213,EEE020,2,"['EEE020_opa_4', 'EEE020_opa_2']"
214,EEE020,2,"['EEE020_opa_8', 'EEE020_opa_3']"
215,EEE021,4,"['EEE021_opa_10', 'EEE021_opa_1', 'EEE021_opa_4', 'EEE021_opa_3']"
216,EEE023,3,"['EEE023_opa_9', 'EEE023_opa_11', 'EEE023_opa_8']"
217,EEE023,3,"['EEE023_opa_4', 'EEE023_opa_3', 'EEE023_opa_5']"
218,EEE026,2,"['EEE026_opa_1', 'EEE026_opa_3']"
219,EEE026,2,"['EEE026_opa_4', 'EEE026_opa_10']"
220,EEE029,2,"['EEE029_opa_5', 'EEE029_opa_1']"
221,EEE029,3,"['EEE029_opa_6', 'EEE029_opa_11', 'EEE029_opa_4']"
222,EEE029,2,"['EEE029_opa_2', 'EEE029_opa_3']"
223,EEE029,2,"['EEE029_opa_9', 'EEE029_opa_7']"
224,EEE030,2,"['EEE030_opa_6', 'EEE030_opa_2']"
225,EEE030,4,"['EEE030_opa_5', 'EEE030_opa_4', 'EEE030_opa_3', 'EEE030_opa_8']"
226,EEE034,2,"['EEE034_opa_11', 'EEE034_opa_1']"
227,EEE034,3,"['EEE034_opa_10', 'EEE034_opa_6', 'EEE034_opa_8']"
228,EEE034,2,"['EEE034_opa_4', 'EEE034_opa_9']"
229,EEE035,3,"['EEE035_opa_2', 'EEE035_opa_10', 'EEE035_opa_8']"
230,EEE035,2,"['EEE035_opa_3', 'EEE035_opa_5']"
231,EEE035,2,"['EEE035_opa_7', 'EEE035_opa_9']"
232,EEE037,3,"['EEE037_opa_9', 'EEE037_opa_3', 'EEE037_opa_10']"
233,FA1090,2,"['FA1090_opa_11', 'FA1090_opa_2']"
234,FA1090,2,"['FA1090_opa_3', 'FA1090_opa_9']"
235,FA19,2,"['FA19_opa_8', 'FA19_opa_1']"
236,FA19,2,"['FA19_opa_4', 'FA19_opa_3']"
237,FA19,2,"['FA19_opa_5', 'FA19_opa_7']"
238,FDAARGOS_204,3,"['FDAARGOS_204_opa_10', 'FDAARGOS_204_opa_8', 'FDAARGOS_204_opa_7']"
239,FDAARGOS_204,2,"['FDAARGOS_204_opa_6', 'FDAARGOS_204_opa_11']"
240,FDAARGOS_204,2,"['FDAARGOS_204_opa_5', 'FDAARGOS_204_opa_2']"
241,FDAARGOS_205,3,"['FDAARGOS_205_opa_8', 'FDAARGOS_205_opa_7', 'FDAARGOS_205_opa_10']"
242,FDAARGOS_207,2,"['FDAARGOS_207_opa_6', 'FDAARGOS_207_opa_1']"
243,FDAARGOS_207,2,"['FDAARGOS_207_opa_7', 'FDAARGOS_207_opa_10']"
244,FDAARGOS_207,3,"['FDAARGOS_207_opa_11', 'FDAARGOS_207_opa_8', 'FDAARGOS_207_opa_4']"
245,FDAARGOS_207,2,"['FDAARGOS_207_opa_3', 'FDAARGOS_207_opa_2']"
246,FFF004,3,"['FFF004_opa_10', 'FFF004_opa_6', 'FFF004_opa_8']"
247,FFF004,2,"['FFF004_opa_2', 'FFF004_opa_3']"
248,FFF005,2,"['FFF005_opa_2', 'FFF005_opa_3']"
249,FFF005,2,"['FFF005_opa_4', 'FFF005_opa_9']"
250,FFF005,2,"['FFF005_opa_8', 'FFF005_opa_6']"
251,FFF007,3,"['FFF007_opa_2', 'FFF007_opa_5', 'FFF007_opa_1']"
252,FFF007,2,"['FFF007_opa_9', 'FFF007_opa_8']"
253,FFF017,2,"['FFF017_opa_1', 'FFF017_opa_5']"
254,FFF024,2,"['FFF024_opa_9', 'FFF024_opa_1']"
255,FFF024,2,"['FFF024_opa_11', 'FFF024_opa_2']"
256,FFF024,2,"['FFF024_opa_4', 'FFF024_opa_8']"
257,FFF026,2,"['FFF026_opa_1', 'FFF026_opa_5']"
258,FFF026,3,"['FFF026_opa_11', 'FFF026_opa_8', 'FFF026_opa_10']"
259,FFF038,2,"['FFF038_opa_1', 'FFF038_opa_10']"
260,FFF038,2,"['FFF038_opa_3', 'FFF038_opa_6']"
261,FFF044,2,"['FFF044_opa_2', 'FFF044_opa_11']"
262,FFF044,2,"['FFF044_opa_3', 'FFF044_opa_8']"
263,FFF044,3,"['FFF044_opa_9', 'FFF044_opa_5', 'FFF044_opa_7']"
264,FFF047,2,"['FFF047_opa_7', 'FFF047_opa_10']"
265,FQ01,2,"['FQ01_opa_8', 'FQ01_opa_11']"
266,FQ01,2,"['FQ01_opa_4', 'FQ01_opa_3']"
267,FQ01,2,"['FQ01_opa_6', 'FQ01_opa_9']"
268,FQ02,2,"['FQ02_opa_1', 'FQ02_opa_7']"
269,FQ02,2,"['FQ02_opa_2', 'FQ02_opa_10']"
270,FQ02,2,"['FQ02_opa_8', 'FQ02_opa_3']"
271,FQ02,2,"['FQ02_opa_5', 'FQ02_opa_4']"
272,FQ04,3,"['FQ04_opa_2', 'FQ04_opa_7', 'FQ04_opa_4']"
273,FQ04,2,"['FQ04_opa_8', 'FQ04_opa_3']"
274,FQ04,2,"['FQ04_opa_6', 'FQ04_opa_9']"
275,FQ20,2,"['FQ20_opa_4', 'FQ20_opa_2']"
276,FQ20,2,"['FQ20_opa_9', 'FQ20_opa_7']"
277,FQ35,3,"['FQ35_opa_9', 'FQ35_opa_7', 'FQ35_opa_11']"
278,FQ35,2,"['FQ35_opa_2', 'FQ35_opa_4']"
279,FQ36,2,"['FQ36_opa_8', 'FQ36_opa_4']"
280,FQ48,2,"['FQ48_opa_4', 'FQ48_opa_1']"
281,FQ48,2,"['FQ48_opa_6', 'FQ48_opa_9']"
282,FQ82,2,"['FQ82_opa_11', 'FQ82_opa_8']"
283,FQ82,2,"['FQ82_opa_7', 'FQ82_opa_4']"
284,FQ82,2,"['FQ82_opa_6', 'FQ82_opa_9']"
285,FQ84,3,"['FQ84_opa_9', 'FQ84_opa_6', 'FQ84_opa_11']"
286,FQ84,2,"['FQ84_opa_2', 'FQ84_opa_4']"
287,GCGS0245,3,"['GCGS0245_opa_9', 'GCGS0245_opa_1', 'GCGS0245_opa_8']"
288,GCGS0245,3,"['GCGS0245_opa_2', 'GCGS0245_opa_7', 'GCGS0245_opa_4']"
289,GCGS0276,2,"['GCGS0276_opa_10', 'GCGS0276_opa_2']"
290,GCGS0276,2,"['GCGS0276_opa_4', 'GCGS0276_opa_3']"
291,GCGS0276,3,"['GCGS0276_opa_9', 'GCGS0276_opa_8', 'GCGS0276_opa_5']"
292,GCGS0306,2,"['GCGS0306_opa_7', 'GCGS0306_opa_1']"
293,GCGS0306,2,"['GCGS0306_opa_10', 'GCGS0306_opa_8']"
