strain	opaA_sv	opaA_hv1	opaA_hv2	opaB_sv	opaB_hv1	opaB_hv2	opaC_sv	opaC_hv1	opaC_hv2	opaD_sv	opaD_hv1	opaD_hv2	opaE_sv	opaE_hv1	opaE_hv2	opaF_sv	opaF_hv1	opaF_hv2	opaG_sv	opaG_hv1	opaG_hv2	opaH_sv	opaH_hv1	opaH_hv2	opaI_sv	opaI_hv1	opaI_hv2	opaJ_sv	opaJ_hv1	opaJ_hv2	opaK_sv	opaK_hv1	opaK_hv2
EEE013	1	8	9	1	5	1	1	2	3	1	2	4	3	2	1	5	1	6	1	8	9	1	2	3	1	11	3	1	2	3	1	8	9
EEE014	5	2	3	1	4	2	1	5	1	1	13	6	5	2	3	1	20	6	2	11	3	3	2	1	3	1	6	3	9	6	3	2	1
EEE015	2	5	1	2	7	3	3	5	1	2	5	4	2	19	4	1	7	3	2	7	3	1	5	6	3	5	1	1	19	9	1	5	6
EEE016	1	5	1	2	4	3	1	9	5	1	4	2	4	7	1	1	1	6	2	4	2	1	5	1	3	10	1	3	2	3	1	5	1
EEE018	1	4	6	1	3	4	2	3	4	2	3	4	2	3	4	1	6	8	2	8	9	3	2	1	4	8	9	1	4	6	3	2	1
EEE019	1	1	2	1	1	2	4	7	3	5	2	1	5	2	1	3	4	2	1	9	5	5	4	2	1	1	2	1	7	3	1	4	2
EEE020	2	3	4	1	18	3	1	5	1	1	18	3	1	2	3	3	1	5	1	8	9	1	2	3	3	5	1	4	9	6	3	1	5
EEE021	1	3	4	1	16	1	1	6	8	1	2	3	2	3	4	2	3	4	1	8	9	1	1	1	4	12	1	1	2	3	2	3	4
EEE023	2	5	1	2	7	1	2	3	4	2	3	4	2	3	4	1	6	8	1	4	6	4	12	1	4	12	1	1	1	2	4	12	1
EEE026	1	7	1	2	5	1	1	7	1	2	4	5	1	2	4	1	2	3	1	1	2	3	2	1	2	4	6	2	4	5			
EEE029	1	7	1	2	2	4	1	7	1	2	3	4	1	2	4	2	3	4	2	2	1	2	1	5	1	2	1	2	4	6	2	3	4
EEE030	1	4	6	1	6	8	2	3	4	2	3	4	2	3	4	1	6	8	2	8	9	2	3	4	1	12	1	3	9	6	1	9	6
EEE034	1	4	5	1	13	6	1	15	2	3	2	1	2	2	7	2	7	1	2	2	3	3	4	5	2	2	1	3	2	1	1	7	1
EEE035	1	11	3	4	2	3	4	3	7	2	2	7	4	3	7	4	3	4	4	3	4	4	2	3	4	3	4	1	1	2	4	2	3
EEE037	1	1	2	2	1	2	1	18	3	2	1	2	3	2	3	2	4	5	2	9	5	2	4	2	3	2	3	1	1	5	2	2	3
FA1090	1	8	6	3	5	7	1	11	3	2	5	1	1	8	1	1	1	5	2	3	4	3	3	7	1	11	3	2	1	5	3	5	7
FA19	3	2	3				2	5	1	3	2	3	3	2	3	3	1	2	1	2	3	5	1	6	3	2	3	2	15	6			
FA6140	5	2	1	3	5	2	4	2	3	4	2	1	4	4	2	5	4	9	2	3	4	1	11	3				1	1	2			
FDAARGOS_204	1	16	2	1	2	1	3	2	1	5	2	1	1	5	1	3	2	1	1	1	6	1	1	6	1	5	1	1	4	6	3	2	1
FDAARGOS_205	1	3	4	3	10	1	2	2	3	2	3	2	1	6	8	2	7	1	2	3	4	2	3	4	1	12	1	2	2	7	3	3	4
FDAARGOS_207	5	5	1	5	1	2	2	5	1	5	3	4	2	1	2	2	5	1	1	4	2	5	3	4	3	2	1	1	4	2	5	3	4
FFF004	2	5	1	2	7	3	3	5	1	1	4	6	2	7	3	1	5	6	1	4	2	1	5	6	3	5	1	1	19	9	1	5	6
FFF005	2	5	1	2	7	3	1	15	2	2	3	4	1	7	3	2	5	6	1	4	6	2	5	6	2	3	4	1	19	9	2	5	6
FFF007	1	10	1	1	10	1	1	10	1	3	2	1	1	6	8	1	13	6	1	1	4	2	2	3	2	2	3	2	1	4	2	1	4
FFF012	1	2	3	1	6	8	2	10	1	1	2	3	4	4	6	3	4	6	2	8	9	2	1	6	2	10	1	1	1	2	3	2	3
FFF017	1	1	2	1	2	1	4	3	7	1	1	1	1	1	2	1	11	3	1	11	3	1	1	2	2	5	1	2	1	2	1	1	2
FFF024	1	10	1	5	1	2	1	10	1	2	3	4	1	6	8	2	1	5	2	3	4	2	3	4	1	4	5	1	1	6	5	1	2
FFF026	1	14	1	1	7	1	2	10	1	3	1	6	1	14	1	1	14	4	2	9	5	1	1	6	4	12	1	2	1	6	1	1	6
FFF038	1	1	7	1	2	7	2	1	5	1	6	8	1	2	1	1	1	5	2	1	4	1	1	6	1	1	8	4	1	7	1	1	5
FFF044	5	2	1	1	2	2	3	5	1	1	1	6	1	6	8	2	2	4	3	5	1	1	6	8	3	5	1	2	1	6	2	2	2
FFF047	5	1	3				1	2	2	1	1	2	2	2	1	5	2	3	3	1	3	3	3	4	1	2	2	1	19	9	3	3	4
FQ01	1	1	2	1	6	8	1	20	6	1	6	1	1	6	1	1	10	1	2	14	9	1	2	1	1	10	1	2	3	4	1	2	1
FQ02	2	4	5	1	1	5	3	15	2	1	4	5	1	4	5	1	2	3	2	4	5	1	15	2	4	10	1	4	2	7	1	1	5
FQ04	2	3	6	2	3	4	1	10	1	2	3	4	1	6	8	2	4	5	2	3	4	1	10	1	1	4	5	1	1	5	2	3	4
FQ20	3	14	4	1	5	1	1	15	2	1	5	1	3	6	8	3	1	3	2	14	9	1	14	1	2	14	9	2	1	6	2	14	9
FQ35	3	14	4	1	5	1	1	15	2	1	5	1	3	6	8	3	1	3	2	14	9	1	14	1	2	14	9	2	1	6	2	14	9
FQ36	1	5	1	2	2	3	2	18	3	1	4	2	1	5	1	4	9	6	1	1	2	1	4	2	4	12	1	1	1	2	2	2	1
FQ48	1	2	3	6	21	2	1	1	4	1	4	5	4	12	1	1	1	4	2	9	5	1	2	3	1	7	1	1	8	9			
FQ82	2	3	6	1	3	4	1	6	8	2	3	4	1	6	8	1	4	5	2	3	4	1	10	1	1	4	5	1	1	6	1	10	1
FQ84	2	3	6	1	3	4	1	5	1	2	3	4	1	6	8	1	4	5	2	3	4	1	10	1	1	4	5	1	1	6	1	4	5
GCGS0245	2	5	1	2	19	7	1	15	2	2	19	7	2	2	7	1	5	1	2	19	7	1	5	7				2	5	1	3	2	1
GCGS0276	1	1	5	1	19	9	1	10	1	1	4	5	1	4	5	2	2	3	2	4	5	2	10	1	2	10	1	4	2	7	1	19	9
GCGS0306	1	4	5	2	2	7	1	9	5	1	11	5	1	4	7	1	10	1	1	4	5	1	2	1	1	10	1	1	19	9	1	2	1
GCGS0313	3	2	1	3	4	7	3	15	2	3	2	1	3	2	1	3	7	2	3	1	3	3	2	7	1	1	3	3	1	6	3	2	2
GCGS0339	1	1	2	1	10	5	1	15	2	4	8	9	4	2	7	3	4	5	2	9	5	3	4	5	4	10	1	1	1	4	3	4	5
GCGS0373	5	7	2				1	2	3	5	2	3	5	1	6	5	7	2	2	9	5	5	7	2	1	10	3	2	1	4	5	2	3
GCGS0423	3	5	1	5	2	3	2	5	1	5	2	3	2	5	1	2	2	3	3	1	2	3	1	2	1	5	1	2	19	9	2	5	1
GCGS0431	3	1	6	3	1	6	1	8	9	2	1	6	3	1	6	1	7	1	2	2	7	3	2	7	1	1	7	1	1	2	3	2	7
GCGS0457	2	1	2	2	2	3	1	18	3	2	18	3	2	1	4	2	1	2	1	2	2	2	2	3	1	2	2	1	19	2	2	1	2
GCGS0769	3	19	7	3	4	6	1	1	6	3	2	7	2	2	1	2	2	3	2	1	3	4	4	9	3	4	5	3	19	9	4	2	7
GCGS0834	5	3	4				1	9	5	1	4	5	4	12	1	5	3	4	2	9	5	1	8	9	4	12	1	1	8	9			
GCGS0864	5	3	4	6	21	2	1	9	5	1	3	4	4	12	1	5	7	1	2	9	5	1	2	3	4	12	1	1	2	3			
GCGS1013	2	1	5	2	1	2	1	18	3	2	1	2	2	1	4	2	7	1	2	9	2	2	1	2	1	2	2	1	2	2	2	1	4
GCGS1014	2	1	5	2	1	6	1	2	3	2	1	2	2	1	4	2	1	2	1	2	2	2	1	6	1	2	2	3	2	7	2	1	6
GCGS1095	2	1	5	2	1	4	1	18	3	2	1	2	2	1	4	2	1	2	1	2	2	2	1	6	1	2	2	3	2	7	2	2	2
GGG022	4	8	9	4	2	3	1	6	8	4	2	1	2	2	7	2	1	4	1	1	2	2	1	7	3	2	1	1	1	2	1	1	3
GGG031	2	2	1	5	1	2	5	5	1	5	1	2	2	6	8	2	2	3	1	2	2	1	5	1	2	5	1	2	1	6	1	5	1
