,wgs_id,accession,names,biosample_collection_date,continent,country,region,source,reference
463,ERR9838553,ERR9838553,ECDC_NO18_638181,2018,Europe,Norway,,representative,SanchezBuso2022
464,ERR9838554,ERR9838554,ECDC_UK18_18CC838,2018,Europe,United Kingdom,,representative,SanchezBuso2022
465,ERR9838656,ERR9838656,ECDC_FI18_18GC01409,2018,Europe,Finland,,representative,SanchezBuso2022
466,ERR9838727,ERR9838727,ECDC_HU18_032,2018,Europe,Hungary,,representative,SanchezBuso2022
467,ERR9838745,ERR9838745,ECDC_EE18_005,2018,Europe,Estonia,,representative,SanchezBuso2022
468,ERR9838746,ERR9838746,ECDC_SE18_052,2018,Europe,Sweden,,representative,SanchezBuso2022
469,ERR9838748,ERR9838748,ECDC_SE18_055,2018,Europe,Sweden,,representative,SanchezBuso2022
470,ERR9838756,ERR9838756,ECDC_SE18_066,2018,Europe,Sweden,,representative,SanchezBuso2022
471,ERR9838776,ERR9838776,ECDC_SE18_179,2018,Europe,Sweden,,representative,SanchezBuso2022
472,ERR9838867,ERR9838867,ECDC_SE18_057,2018,Europe,Sweden,,representative,SanchezBuso2022
473,ERR9838909,ERR9838909,ECDC_SE18_177,2018,Europe,Sweden,,representative,SanchezBuso2022
474,ERR9838966,ERR9838966,ECDC_PL18_059,2018,Europe,Poland,,representative,SanchezBuso2022
475,ERR9838975,ERR9838975,ECDC_DK18_760,2018,Europe,Denmark,,representative,SanchezBuso2022
476,ERR9839008,ERR9839008,ECDC_SE18_193,2018,Europe,Sweden,,representative,SanchezBuso2022
477,ERR9839012,ERR9839012,ECDC_SE18_194,2018,Europe,Sweden,,representative,SanchezBuso2022
478,ERR9839020,ERR9839020,ECDC_SE18_196,2018,Europe,Sweden,,representative,SanchezBuso2022
479,ERR9839060,ERR9839060,ECDC_AT18_980581,2018,Europe,Austria,,representative,SanchezBuso2022
480,ERR9839096,ERR9839096,ECDC_SE18_082,2018,Europe,Sweden,,representative,SanchezBuso2022
481,ERR9839159,ERR9839159,ECDC_SE18_102,2018,Europe,Sweden,,representative,SanchezBuso2022
482,ERR9839204,ERR9839204,ECDC_SE18_015,2018,Europe,Sweden,,representative,SanchezBuso2022
483,ERR9839221,ERR9839221,ECDC_AT18_980413,2018,Europe,Austria,,representative,SanchezBuso2022
484,ERR9839224,ERR9839224,ECDC_SE18_125,2018,Europe,Sweden,,representative,SanchezBuso2022
485,ERR9839240,ERR9839240,ECDC_UK18_NI18030,2018,Europe,United Kingdom,,representative,SanchezBuso2022
486,ERR9839275,ERR9839275,ECDC_GE18_086,2018,Europe,Germany,,representative,SanchezBuso2022
487,ERR9839301,ERR9839301,ECDC_UK18_18NO045,2018,Europe,United Kingdom,,representative,SanchezBuso2022
488,ERR9839385,ERR9839385,ECDC_BE18_523,2018,Europe,Belgium,,representative,SanchezBuso2022
489,ERR9839397,ERR9839397,ECDC_UK18_18NE014,2018,Europe,United Kingdom,,representative,SanchezBuso2022
490,ERR9839412,ERR9839412,ECDC_NO18_639351,2018,Europe,Norway,,representative,SanchezBuso2022
491,ERR9839429,ERR9839429,ECDC_BE18_537,2018,Europe,Belgium,,representative,SanchezBuso2022
492,ERR9839443,ERR9839443,ECDC_NO18_639452,2018,Europe,Norway,,representative,SanchezBuso2022
493,FA1090,NC_002946,"FA1090,NC_002946",1980,North America,USA,,representative,SanchezBuso2018
494,FA19,NZ_CP012026,"FA19,NZ_CP012026",1962,North America,USA,,representative,SanchezBuso2018
495,FFF007,SRR16683527,FFF007,2014-04-01,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
496,FFF012,SRR16683493,FFF012,2014-06-06,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
497,FFF017,SRR16683489,FFF017,2014-08-04,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
498,FFF023,SRR16683484,FFF023,2014-08-25,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
499,FFF041,SRR16683466,FFF041,2014-12-08,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
500,FFF044,SRR16683463,FFF044,2014-06-26,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
501,FFF047,SRR16683459,FFF047,2015-01-08,Asia,Hong Kong,PHL  HKSARG,representative,BristowMortimer_2023
502,FL14,ERR3959653,FL14,2015-2016,South America,Brazil,Florianopolis/Santa Catarina,representative,Golparian2020
503,FL17,ERR3959656,FL17,2015-2016,South America,Brazil,Florianopolis/Santa Catarina,representative,Golparian2020
504,FL36,ERR3959677,FL36,2015-2016,South America,Brazil,Florianopolis/Santa Catarina,representative,Golparian2020
505,FL43,ERR3959685,FL43,2015-2016,South America,Brazil,Florianopolis/Santa Catarina,representative,Golparian2020
506,FL44,ERR3959686,FL44,2015-2016,South America,Brazil,Florianopolis/Santa Catarina,representative,Golparian2020
507,GCGS0072,ERR191801,"GCGS0072,8289_2#72,SDG-200907-02",2009,North America,USA,San Diego,representative,Grad2014_2016
508,GCGS0154,ERR855235,"GCGS0154,15335_5#85,SDG-200909-22",2009,North America,USA,San Diego,representative,Grad2014_2016
509,GCGS0200,ERR222899,"GCGS0200,8727_5#50,ORA-200907-01",2009,North America,USA,Orange County,representative,Grad2014_2016
510,GCGS0245,ERR1067881,"GCGS0245,17176_1#82,ORA-200110-12",2001,North America,USA,Orange County,representative,Grad2014_2016
511,GCGS0248,ERR1067838,"GCGS0248,17176_1#39,CIN-200410-15",2004,North America,USA,Cincinnati,representative,Grad2014_2016
512,GCGS0292,ERR854977,"GCGS0292,15335_3#16,OKC-200605-17",2006,North America,USA,Oklahoma City,representative,Grad2014_2016
513,GCGS0295,ERR1082205,"GCGS0295,17225_3#34,SDG-200209-04",2002,North America,USA,San Diego,representative,Grad2014_2016
514,GCGS0296,ERR855084,"GCGS0296,15335_4#28,SDG-200503-09",2005,North America,USA,San Diego,representative,Grad2014_2016
515,GCGS0304,ERR1067795,"GCGS0304,17150_8#87,ATL-200101-16",2001,North America,USA,Atlanta,representative,Grad2014_2016
516,GCGS0305,ERR1067798,"GCGS0305,17150_8#90,ATL-200110-16",2001,North America,USA,Atlanta,representative,Grad2014_2016
517,GCGS0306,ERR1067873,"GCGS0306,17176_1#74,ATL-200112-05",2001,North America,USA,Atlanta,representative,Grad2014_2016
518,GCGS0307,ERR1082182,"GCGS0307,17225_3#11,ATL-200202-19",2002,North America,USA,Atlanta,representative,Grad2014_2016
519,GCGS0313,ERR854949,"GCGS0313,15335_2#83,BAL-201203-18",2012,North America,USA,Baltimore,representative,Grad2014_2016
520,GCGS0317,ERR1067875,"GCGS0317,17176_1#76,BHM-200112-11",2001,North America,USA,Birmingham,representative,Grad2014_2016
521,GCGS0347,ERR854956,"GCGS0347,15335_2#90,CLE-201206-17",2012,North America,USA,Cleveland,representative,Grad2014_2016
522,GCGS0348,ERR854958,"GCGS0348,15335_2#92,CLE-201209-10",2012,North America,USA,Cleveland,representative,Grad2014_2016
523,GCGS0362,ERR1067840,"GCGS0362,17176_1#41,DTR-200412-24",2004,North America,USA,Detroit,representative,Grad2014_2016
524,GCGS0369,ERR854998,"GCGS0369,15335_3#37,HON-201103-04",2011,North America,USA,Honolulu,representative,Grad2014_2016
525,GCGS0373,ERR1067806,"GCGS0373,17176_1#7,IND-201308-13",2013,North America,USA,Indianapolis,representative,Grad2014_2016
526,GCGS0377,ERR854964,"GCGS0377,15335_3#3,KCY-201204-04",2012,North America,USA,Kansas City,representative,Grad2014_2016
527,GCGS0423,ERR855041,"GCGS0423,15335_3#80,MIN-201212-08",2012,North America,USA,Minneapolis,representative,Grad2014_2016
528,GCGS0432,ERR1067810,"GCGS0432,17176_1#11,OKC-201306-06",2013,North America,USA,Oklahoma City,representative,Grad2014_2016
529,GCGS0438,ERR855398,"GCGS0438,15335_7#58,ORA-201304-08",2013,North America,USA,Orange County,representative,Grad2014_2016
530,GCGS0439,ERR1067883,"GCGS0439,17176_1#84,PHI-200102-09",2001,North America,USA,Philadelphia,representative,Grad2014_2016
531,GCGS0440,ERR1067717,"GCGS0440,17150_8#9,PHI-200201-01",2002,North America,USA,Philadelphia,representative,Grad2014_2016
532,GCGS0454,ERR855047,"GCGS0454,15335_3#86,PHI-201202-44",2012,North America,USA,Philadelphia,representative,Grad2014_2016
533,GCGS0465,ERR855028,"GCGS0465,15335_3#67,PHX-201101-02",2011,North America,USA,Phoenix,representative,Grad2014_2016
534,GCGS0471,ERR855052,"GCGS0471,15335_3#91,PHX-201202-09",2012,North America,USA,Phoenix,representative,Grad2014_2016
535,GCGS0472,ERR855054,"GCGS0472,15335_3#93,PHX-201202-11",2012,North America,USA,Phoenix,representative,Grad2014_2016
536,GCGS0474,ERR855337,"GCGS0474,15335_6#92,PHX-201303-19",2013,North America,USA,Phoenix,representative,Grad2014_2016
537,GCGS0509,ERR1067774,"GCGS0509,17150_8#66,SFO-200411-05",2004,North America,USA,San Francisco,representative,Grad2014_2016
538,GCGS0515,ERR855250,"GCGS0515,15335_6#5,SFO-201108-13",2011,North America,USA,San Francisco,representative,Grad2014_2016
539,GCGS0525,ERR1067777,"GCGS0525,17150_8#69,ATL-200005-01",2000,North America,USA,Atlanta,representative,Grad2014_2016
540,GCGS0529,ERR1082212,"GCGS0529,17225_3#41,ATL-200308-11",2003,North America,USA,Atlanta,representative,Grad2014_2016
541,GCGS0599,ERR1067846,"GCGS0599,17176_1#47,LVG-200411-07",2004,North America,USA,Las Vegas,representative,Grad2014_2016
542,GCGS0620,ERR1067811,"GCGS0620,17176_1#12,OKC-201311-04",2013,North America,USA,Oklahoma City,representative,Grad2014_2016
543,GCGS0624,ERR1067715,"GCGS0624,17150_8#7,ORA-200201-09",2002,North America,USA,Orange County,representative,Grad2014_2016
544,GCGS0680,ERR1067822,"GCGS0680,17176_1#23,RIC-201305-02",2013,North America,USA,Richmond,representative,Grad2014_2016
545,GCGS0709,ERR1067871,"GCGS0709,17176_1#72,SFO-200008-16",2000,North America,USA,San Francisco,representative,Grad2014_2016
546,GCGS0726,ERR1067874,"GCGS0726,17176_1#75,BHM-200102-16",2001,North America,USA,Birmingham,representative,Grad2014_2016
547,GCGS0749,ERR1067830,"GCGS0749,17176_1#31,IND-201312-07",2013,North America,USA,Indianapolis,representative,Grad2014_2016
