,id,sv_cluster,hv1_cluster,hv2_cluster
497,2022NG-0032_opa_5,2,16,2
498,2022NG-0032_opa_6,1,2,3
499,2022NG-0032_opa_7,2,9,5
500,2022NG-0032_opa_8,1,2,3
501,2022NG-0032_opa_9,2,12,1
502,2022NG-0076_opa_1,1,4,5
503,2022NG-0076_opa_10,1,4,6
504,2022NG-0076_opa_11,4,2,7
505,2022NG-0076_opa_2,4,10,1
506,2022NG-0076_opa_3,3,15,2
507,2022NG-0076_opa_4,3,1,2
508,2022NG-0076_opa_5,1,4,5
509,2022NG-0076_opa_6,1,2,3
510,2022NG-0076_opa_7,2,4,5
511,2022NG-0076_opa_8,3,1,2
512,2022NG-0076_opa_9,4,10,1
513,25818_3#234_opa_1,1,13,6
514,25818_3#234_opa_10,2,1,4
515,25818_3#234_opa_11,1,2,3
516,25818_3#234_opa_2,4,13,6
517,25818_3#234_opa_3,4,7,3
518,25818_3#234_opa_4,1,1,2
519,25818_3#234_opa_5,1,3,4
520,25818_3#234_opa_6,3,1,2
521,25818_3#234_opa_7,1,15,6
522,25818_3#234_opa_8,1,2,3
523,25818_3#234_opa_9,1,1,2
524,9035_opa_1,3,3,6
525,9035_opa_10,3,3,4
526,9035_opa_11,2,1,6
527,9035_opa_2,1,6,8
528,9035_opa_3,3,3,4
529,9035_opa_4,3,7,3
530,9035_opa_5,3,3,4
531,9035_opa_6,3,3,6
532,9035_opa_7,2,2,3
533,9035_opa_8,3,3,7
534,9035_opa_9,2,9,5
535,9071_opa_1,1,3,7
536,9071_opa_10,1,3,4
537,9071_opa_2,2,6,8
538,9071_opa_3,3,2,7
539,9071_opa_4,3,1,5
540,9071_opa_5,3,1,4
541,9071_opa_6,1,1,4
542,9071_opa_7,1,3,4
543,9071_opa_8,1,3,4
544,9071_opa_9,3,1,5
545,9112_opa_1,1,7,1
546,9112_opa_10,1,1,1
547,9112_opa_11,2,1,6
548,9112_opa_2,3,3,1
549,9112_opa_3,3,3,7
550,9112_opa_4,1,1,1
551,9112_opa_5,1,9,5
552,9112_opa_6,1,9,5
553,9112_opa_7,2,9,5
554,9112_opa_8,1,1,1
555,9112_opa_9,4,12,1
556,9126_opa_1,3,3,4
557,9126_opa_10,3,3,5
558,9126_opa_2,3,1,5
559,9126_opa_3,3,6,8
560,9126_opa_4,3,2,8
561,9126_opa_5,3,2,3
562,9126_opa_6,1,1,4
563,9126_opa_7,1,6,8
564,9126_opa_8,1,3,4
565,9126_opa_9,3,1,5
566,9343_opa_1,1,6,8
567,9343_opa_10,1,6,8
568,9343_opa_2,2,6,8
569,9343_opa_3,1,2,7
570,9343_opa_4,3,1,5
571,9343_opa_5,3,2,3
572,9343_opa_6,1,3,4
573,9343_opa_7,1,3,4
574,9343_opa_8,1,3,4
575,9343_opa_9,3,3,5
576,9399_opa_1,3,6,8
577,9399_opa_10,3,1,5
578,9399_opa_2,2,6,8
579,9399_opa_3,3,1,7
580,9399_opa_4,3,1,5
581,9399_opa_5,3,2,3
582,9399_opa_6,3,3,4
583,9399_opa_7,3,6,8
584,9399_opa_8,3,3,4
585,9399_opa_9,3,1,5
586,9431_opa_1,1,1,4
587,9431_opa_10,1,13,6
588,9431_opa_11,1,4,2
589,9431_opa_2,1,13,6
590,9431_opa_3,1,4,1
591,9431_opa_4,1,13,6
592,9431_opa_5,1,4,1
593,9431_opa_6,2,2,1
594,9431_opa_7,1,2,2
595,9431_opa_8,2,2,7
596,9431_opa_9,1,1,7
597,9460_opa_1,1,1,4
598,9460_opa_10,1,2,7
599,9460_opa_11,1,4,2
600,9460_opa_2,1,13,6
601,9460_opa_3,1,4,1
602,9460_opa_4,1,13,6
603,9460_opa_5,1,4,1
604,9460_opa_6,2,2,1
605,9460_opa_7,1,2,2
606,9460_opa_8,1,2,7
607,9460_opa_9,1,1,7
608,9464_opa_1,1,1,4
609,9464_opa_10,1,1,7
610,9464_opa_11,1,4,2
611,9464_opa_2,1,13,6
612,9464_opa_3,1,4,1
613,9464_opa_4,1,13,6
614,9464_opa_5,1,4,1
615,9464_opa_6,2,2,1
616,9464_opa_7,1,2,2
617,9464_opa_8,2,2,7
618,9464_opa_9,1,1,7
619,96MB_opa_1,5,2,3
620,96MB_opa_10,1,6,8
621,96MB_opa_11,3,9,6
622,96MB_opa_2,1,4,2
623,96MB_opa_3,1,5,1
624,96MB_opa_4,2,17,6
625,96MB_opa_5,5,2,3
626,96MB_opa_6,1,20,6
627,96MB_opa_7,2,11,3
628,96MB_opa_8,1,6,8
629,96MB_opa_9,2,11,3
630,AT159_opa_1,2,16,1
631,AT159_opa_10,1,1,5
632,AT159_opa_11,2,16,1
633,AT159_opa_2,2,10,1
634,AT159_opa_3,2,16,1
635,AT159_opa_4,1,1,2
636,AT159_opa_5,1,10,1
637,AT159_opa_6,1,18,1
638,AT159_opa_7,1,3,4
639,AT159_opa_8,1,9,5
640,AT159_opa_9,1,3,4
641,ATCC49226_opa_1,3,2,3
642,ATCC49226_opa_10,2,3,7
643,ATCC49226_opa_11,2,3,7
644,ATCC49226_opa_2,1,8,9
645,ATCC49226_opa_3,2,4,2
646,ATCC49226_opa_4,1,8,1
647,ATCC49226_opa_5,1,15,2
648,ATCC49226_opa_6,2,4,2
649,ATCC49226_opa_7,2,3,4
650,ATCC49226_opa_8,2,4,2
651,ATCC49226_opa_9,1,4,6
652,AUNG1065_opa_1,2,1,7
653,AUNG1065_opa_10,2,1,2
654,AUNG1065_opa_11,2,1,7
655,AUNG1065_opa_2,2,3,4
656,AUNG1065_opa_3,3,2,3
657,AUNG1065_opa_4,1,13,6
658,AUNG1065_opa_5,2,1,2
659,AUNG1065_opa_6,2,1,2
660,AUNG1065_opa_7,2,1,2
661,AUNG1065_opa_8,2,1,7
662,AUNG1065_opa_9,1,3,4
663,AUNG1251_opa_1,5,1,2
664,AUNG1251_opa_10,1,1,2
665,AUNG1251_opa_11,3,9,6
666,AUNG1251_opa_2,1,4,2
667,AUNG1251_opa_3,5,2,3
668,AUNG1251_opa_4,2,17,6
669,AUNG1251_opa_5,2,1,5
670,AUNG1251_opa_6,1,20,6
671,AUNG1251_opa_7,2,11,3
672,AUNG1251_opa_8,1,20,6
673,AUNG1251_opa_9,2,17,6
674,AUNG1291_opa_1,3,10,1
675,AUNG1291_opa_10,5,4,6
676,AUNG1291_opa_11,3,2,3
677,AUNG1291_opa_2,3,4,9
678,AUNG1291_opa_3,1,10,1
679,AUNG1291_opa_4,3,4,1
680,AUNG1291_opa_5,3,3,7
681,AUNG1291_opa_6,5,4,6
682,AUNG1291_opa_7,2,9,5
683,AUNG1291_opa_8,5,4,6
684,AUNG1291_opa_9,3,4,1
685,AUSMDU00010541_opa_1,2,2,1
686,AUSMDU00010541_opa_10,2,2,4
687,AUSMDU00010541_opa_11,2,16,3
688,AUSMDU00010541_opa_2,2,16,1
689,AUSMDU00010541_opa_3,4,9,5
690,AUSMDU00010541_opa_4,2,3,4
691,AUSMDU00010541_opa_5,1,18,3
692,AUSMDU00010541_opa_6,4,10,1
693,AUSMDU00010541_opa_7,1,1,2
694,AUSMDU00010541_opa_8,4,2,1
695,AUSMDU00010541_opa_9,2,3,4
696,BJ16148_opa_1,2,1,2
697,BJ16148_opa_10,3,3,4
698,BJ16148_opa_11,2,1,2
699,BJ16148_opa_2,2,2,3
700,BJ16148_opa_3,1,6,8
701,BJ16148_opa_4,4,2,1
702,BJ16148_opa_5,1,6,8
703,BJ16148_opa_6,2,8,9
704,BJ16148_opa_7,2,4,6
705,BJ16148_opa_8,2,2,1
