node	1	2	3	4	5	6	7	8	9
10723	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n3	7.764326473837806e-13	7.764326473837806e-13	0.9996946502395974	0.0003053497549675797	7.764326473837806e-13	7.764326473837806e-13	7.764326473837806e-13	7.764326473837806e-13	7.764326473837806e-13
n4	1.932484692430124e-12	1.932484692430124e-12	0.9992244211617382	0.0007755788247345258	1.932484692430124e-12	1.932484692430124e-12	1.932484692430124e-12	1.932484692430124e-12	1.932484692430124e-12
10268	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10574	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10500	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10702	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10524	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n12	1.97244870619414e-12	1.97244870619414e-12	0.9991898188157469	0.0008101811704461049	1.97244870619414e-12	1.97244870619414e-12	1.97244870619414e-12	1.97244870619414e-12	1.972448706194132e-12
10328	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n33	4.419869209591267e-13	4.419869209591267e-13	0.9998290702020312	0.0001709297948748621	4.419869209591267e-13	4.419869209591267e-13	4.419869209591267e-13	4.419869209591267e-13	4.419869209591267e-13
n44	1.006213203217676e-12	1.006213203217676e-12	0.9996063376947668	0.0003936622981896208	1.006213203217676e-12	1.006213203217676e-12	1.006213203217676e-12	1.006213203217676e-12	1.006213203217676e-12
n5	2.3392950615681895e-13	2.3392950615681895e-13	0.999909602630976	9.03973673865229e-05	2.3392950615681895e-13	2.3392950615681895e-13	2.3392950615681895e-13	2.3392950615681895e-13	2.3392950615681895e-13
10531	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10771	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10794	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10814	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10588	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10638	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10791	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10795	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
