node	1	2	3	4	5	6	7	8	9
n12	2.4316768921812657e-12	2.4316768921812657e-12	2.4316768921812657e-12	2.4316768921812657e-12	2.4316768921812657e-12	2.4316768921812657e-12	0.9990027719586932	0.0009972280242851392	2.4316768921812657e-12
10328	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n33	5.487494184629142e-13	5.487494184629142e-13	5.487494184629142e-13	5.487494184629142e-13	5.487494184629142e-13	5.487494184629142e-13	0.9997880002382825	0.00021199975787626184	5.487494184629142e-13
n44	1.2588532096777572e-12	1.2588532096777572e-12	1.2588532096777572e-12	1.2588532096777572e-12	1.2588532096777572e-12	1.2588532096777572e-12	0.9995092210478103	0.0004907789433777357	1.2588532096777572e-12
n5	2.877347270608914e-13	2.877347270608914e-13	2.877347270608914e-13	2.877347270608914e-13	2.877347270608914e-13	2.877347270608914e-13	0.999888907350972	0.00011109264701387766	2.877347270608914e-13
10531	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10771	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10794	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10814	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10588	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10638	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10791	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10795	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
