ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,lcb_num,length_ratio,ref_strain,query_strain
1220443,1591355,1,1221552,1597566,1,6,0.9864313562792875,FA1090,10537
1591359,1594716,1,1205628,1208502,-1,7,1.1680584551148225,FA1090,10537
1602152,1717233,1,1673202,1788632,1,8,0.99697652256779,FA1090,10537
1717241,1852432,1,1984684,2119868,-1,9,1.0000517812758907,FA1090,10537
1852437,1945311,1,1885424,1978132,-1,10,1.0017905682357509,FA1090,10537
1946217,1946371,1,1980623,1980795,1,11,0.8953488372093024,FA1090,10537
1948169,2043426,1,1791145,1885419,-1,12,1.0104270530581072,FA1090,10537
2047524,2155339,1,2120175,2228946,1,13,0.9912108926092432,FA1090,10537
1,187800,1,1,186934,1,0,1.0046326758785233,FA1090,10538
187803,470285,1,256003,539908,1,1,0.9949877599901376,FA1090,10538
470290,1064572,1,539929,1198031,-1,2,0.9030241512713835,FA1090,10538
1070479,1072613,1,1595151,1597286,-1,3,0.9995316159250586,FA1090,10538
1084806,1148069,1,1607024,1670241,1,4,1.0007276523719886,FA1090,10538
1149140,1217000,1,188007,256000,-1,5,0.9980439162854999,FA1090,10538
1222812,1591355,1,1221793,1595149,1,6,0.987108818393169,FA1090,10538
1591359,1594716,1,1203477,1206351,-1,7,1.1680584551148225,FA1090,10538
1602152,1717255,1,1670788,1786240,1,8,0.996977098707688,FA1090,10538
1717260,2044876,1,1786623,2115049,-1,9,0.9975336909988856,FA1090,10538
2047523,2155339,1,2115374,2223795,1,10,0.9944199002038351,FA1090,10538
1,460218,1,1,463482,1,0,0.9929576401190124,FA1090,10562
471787,1074786,1,463751,1132566,-1,1,0.9015931161831,FA1090,10562
1084602,1104525,1,1652365,1672279,1,2,1.0004519433564327,FA1090,10562
1107562,1427944,1,1154265,1476958,1,3,0.992838394387235,FA1090,10562
1428432,1532628,1,1477442,1580598,-1,4,1.0100818178293072,FA1090,10562
1532640,1602041,1,1580600,1649571,1,5,1.0062345043569036,FA1090,10562
1602074,2155339,1,1672284,2223176,1,6,1.0043075593764295,FA1090,10562
1,55029,1,1,55376,1,0,0.9937336343115124,FA1090,10574
55032,55342,1,1955424,1955727,1,1,1.023102310231023,FA1090,10574
55353,470301,1,55685,473821,1,2,0.9923756863795512,FA1090,10574
470304,1064556,1,473842,1129148,-1,3,0.906831312394515,FA1090,10574
1084598,1104525,1,1646905,1666835,1,4,0.9998494731560461,FA1090,10574
1109888,1428417,1,1151026,1470929,1,5,0.9957049480623814,FA1090,10574
1428443,1533142,1,1471375,1575109,-1,6,1.0093026394431912,FA1090,10574
1533200,1602068,1,1575686,1644122,1,7,1.0063124671225672,FA1090,10574
1602071,1891150,1,1666838,1955420,1,8,1.00172221413671,FA1090,10574
1891473,2155339,1,1955731,2213959,1,9,1.0218334185293616,FA1090,10574
1,460932,1,1,464351,1,0,0.9926370194896091,FA1090,10588
471786,1074337,1,464355,1132044,-1,1,0.9024426042663576,FA1090,10588
1084598,1107519,1,1266836,1289758,1,2,0.9999563737893726,FA1090,10588
1109888,1220184,1,1156270,1266786,1,3,0.9980093380144052,FA1090,10588
1220479,2155339,1,1289788,2221044,1,4,1.003870042179594,FA1090,10588
1,54528,1,1,54867,1,0,0.9938213101009733,FA1090,10610
54531,54780,1,1955869,1956109,1,1,1.0375,FA1090,10610
54786,470066,1,55128,474038,1,2,0.9913346542216706,FA1090,10610
470111,1064716,1,474134,1129750,-1,3,0.9069409532409215,FA1090,10610
1084598,1105252,1,1647293,1667950,1,4,0.9998547707798809,FA1090,10610
1107284,1220184,1,1534095,1647243,1,5,0.9978081804362428,FA1090,10610
1222815,1601144,1,1151214,1530412,1,6,0.9977083212464201,FA1090,10610
1602801,1890614,1,1667955,1955863,1,7,0.9996700334829182,FA1090,10610
1890987,2018005,1,1956191,2080339,1,8,1.0231175693527081,FA1090,10610
2018083,2037407,1,2083278,2102600,1,9,1.0001035089535244,FA1090,10610
2037444,2037476,1,2104814,2104846,-1,10,1.0,FA1090,10610
2038541,2040459,1,2080981,2082769,1,11,1.0727069351230425,FA1090,10610
2042347,2043965,1,2112326,2112721,1,12,4.096202531645569,FA1090,10610
2044172,2045822,1,2109296,2112271,1,13,0.5546218487394958,FA1090,10610
2046066,2155339,1,2112895,2221786,1,14,1.0035080952512145,FA1090,10610
1,1069985,1,1,1129391,1,0,0.9473999238526992,FA1090,10638
1086198,1104927,1,1636280,1655010,1,1,0.9999466097170315,FA1090,10638
1108146,1598342,1,1144669,1636274,1,2,0.9971338778084031,FA1090,10638
1602476,2155339,1,1655015,2204219,1,3,1.0066623695384593,FA1090,10638
1,2155339,1,1,2212515,1,0,0.9741579036336041,FA1090,10702
1,460635,1,1,465009,1,0,0.9905937102157383,FA1090,10708
460711,1074527,1,465120,1148354,-1,1,0.8983979134527849,FA1090,10708
1085361,1104229,1,1654651,1673522,1,2,0.9998410259127762,FA1090,10708
1109885,1602015,1,1160982,1651064,1,3,1.0041788925118653,FA1090,10708
1602025,1717289,1,1673771,1789081,1,4,0.9996010753620674,FA1090,10708
1717293,2045838,1,1790030,2118866,-1,5,0.9991150603948473,FA1090,10708
2047523,2155339,1,2119224,2227633,1,6,0.9945299744486159,FA1090,10708
1,2155339,1,1,2192371,1,0,0.9831086905951094,FA1090,10723
1,778244,1,1,783544,1,0,0.9932358530418879,FA1090,10727
778249,1070004,1,840639,1133396,1,1,0.996577366211568,FA1090,10727
1086399,1087813,1,785152,804542,-1,2,0.07292418772563176,FA1090,10727
1109885,2155339,1,1150487,2191505,1,3,1.0042612135428974,FA1090,10727
1,462549,1,1,466206,1,0,0.9921558112847353,FA1090,10736
462552,1072655,1,466274,1147123,-1,1,0.8960914975273518,FA1090,10736
1083823,1103384,1,1653700,1673249,1,2,1.0006138421402628,FA1090,10736
1109718,1599044,1,1161370,1649085,1,3,1.0033031586069734,FA1090,10736
1610027,1717289,1,1682409,1789669,1,4,1.000018646280067,FA1090,10736
1717293,2046394,1,1791257,2119995,-1,5,1.0011042228157379,FA1090,10736
2047523,2155339,1,2120353,2227374,1,6,1.0074284486222331,FA1090,10736
1,74649,1,1,74333,1,0,1.0042511973308939,FA1090,10743
75130,461393,1,1144290,1535194,-1,1,0.9881275198002578,FA1090,10743
461515,1072973,1,462417,1144165,1,2,0.8968973873043998,FA1090,10743
1084806,1103203,1,1654436,1672839,1,3,0.9996739662011629,FA1090,10743
1107641,1482981,1,74862,451223,-1,4,0.9972871790647809,FA1090,10743
1483366,1599134,1,1535253,1648721,1,5,1.020270032079529,FA1090,10743
1610028,1717289,1,1682168,1789425,1,6,1.0000372936032147,FA1090,10743
1717293,2046393,1,1789881,2118483,-1,7,1.0015155111654828,FA1090,10743
2047519,2155339,1,2118837,2227249,1,8,0.9945393498874663,FA1090,10743
1,461393,1,1,465575,1,0,0.991017539639241,FA1090,10744
461396,1072962,1,465710,1149293,-1,1,0.8946477604036379,FA1090,10744
1085470,1103985,1,1656737,1675255,1,2,0.999837995463873,FA1090,10744
1109885,1600337,1,1162603,1651364,1,3,1.0034597686803979,FA1090,10744
1601541,1717289,1,1675267,1791059,1,4,0.9996200082907282,FA1090,10744
1717293,2044893,1,1791382,2120173,-1,5,0.9963776380740349,FA1090,10744
2047522,2155339,1,2120530,2228933,1,6,0.9945942455467099,FA1090,10744
1,460682,1,1,464750,1,0,0.9912468881051922,FA1090,10771
469911,1064976,1,473623,1124285,1,1,0.9145531781477941,FA1090,10771
1067659,1074345,1,464996,471127,-1,2,1.0905235687489805,FA1090,10771
1085343,1105356,1,1643154,1663169,1,3,0.9999000749437922,FA1090,10771
1107564,1602279,1,1143968,1639836,1,4,0.9976747844184339,FA1090,10771
1602905,2155339,1,1663174,2210202,1,5,1.0098824923038674,FA1090,10771
1,1069982,1,1,1129772,1,0,0.9470777706278529,FA1090,10791
1084718,1104926,1,1643005,1663215,1,1,0.9999010390895596,FA1090,10791
1109888,1428414,1,1146801,1467225,1,2,0.9940765985069783,FA1090,10791
1428419,1532744,1,1468075,1571083,-1,3,1.0127854147250699,FA1090,10791
1532765,1602470,1,1571198,1640504,1,4,1.0057570773093238,FA1090,10791
1602473,2155339,1,1663218,2212689,1,5,1.0061786700299016,FA1090,10791
1,1069984,1,1,1129952,1,0,0.9469286721282604,FA1090,10792
1084598,1105252,1,1643342,1663997,1,1,0.9999515855725006,FA1090,10792
1109885,1601197,1,1147035,1639689,1,2,0.9972759786787482,FA1090,10792
1602801,2155339,1,1664002,2214415,1,3,1.0038607373008994,FA1090,10792
1,1069996,1,1,1129827,1,0,0.947044058111603,FA1090,10794
1085317,1104927,1,1643923,1663534,1,1,0.9999490082096782,FA1090,10794
1109885,1602470,1,1147079,1640823,1,2,0.997652629702842,FA1090,10794
1602473,2155339,1,1663537,2212713,1,3,1.0067191574285839,FA1090,10794
1,1069984,1,1,1129722,1,0,0.9471214574217882,FA1090,10795
1084598,1104926,1,1642560,1662890,1,1,0.9999016232169208,FA1090,10795
1108191,1428414,1,1145057,1466909,1,2,0.9949386674620633,FA1090,10795
1428419,1532751,1,1467752,1570758,-1,3,1.0128730365221443,FA1090,10795
1532755,1602470,1,1570863,1640179,1,4,1.0057562467539962,FA1090,10795
1602473,2155339,1,1662893,2213168,1,5,1.0047085548135024,FA1090,10795
1,55371,1,1,56090,1,0,0.9871810872006989,FA1090,1081168
55414,187653,1,56133,187911,1,1,1.0034983077600206,FA1090,1081168
187654,460743,1,300986,576022,1,2,0.9929209267150482,FA1090,1081168
471787,778244,1,936507,1244416,-1,3,0.9952843210169239,FA1090,1081168
778249,1065429,1,584371,879103,-1,4,0.9743767219032884,FA1090,1081168
1084857,1105155,1,1654585,1674892,1,5,0.999556803072832,FA1090,1081168
1108146,1149291,1,187913,229063,-1,6,0.9998784933171324,FA1090,1081168
1149292,1220250,1,229889,300980,-1,7,0.9981291584026107,FA1090,1081168
1220475,1587984,1,1265533,1637774,1,8,0.9872878054808578,FA1090,1081168
1602703,1717553,1,1674896,1790126,1,9,0.996702247678556,FA1090,1081168
1717557,1891417,1,1940819,2121229,-1,10,0.963693808547198,FA1090,1081168
1891508,1891537,1,56096,56125,1,11,1.0,FA1090,1081168
1891540,1945567,1,1886904,1940719,-1,12,1.0039394220942117,FA1090,1081168
1945969,1946083,1,924802,924927,-1,13,0.912,FA1090,1081168
1948424,2037363,1,1795598,1886900,-1,14,0.9741188582944513,FA1090,1081168
2047537,2155339,1,2121864,2230282,1,15,0.9943182866313712,FA1090,1081168
1,1069996,1,1,1130029,1,0,0.946874767704871,FA1090,10814
1085317,1108701,1,1258569,1281954,1,1,0.9999572375454351,FA1090,10814
1109888,1220553,1,1147284,1258166,1,2,0.9980429645929908,FA1090,10814
1221641,2155339,1,1281967,2212315,1,3,1.0036008031403303,FA1090,10814
1,461393,1,1,465587,1,0,0.9909919971820459,FA1090,10819
461396,1072962,1,465722,1149328,-1,1,0.8946176598801063,FA1090,10819
1085470,1103985,1,1656705,1675223,1,2,0.999837995463873,FA1090,10819
1109885,1600337,1,1162638,1651332,1,3,1.0035973431226903,FA1090,10819
1601541,1717289,1,1675235,1791027,1,4,0.9996200082907282,FA1090,10819
1717293,2047009,1,1792336,2120879,-1,5,1.003570308909336,FA1090,10819
2047519,2155339,1,2121233,2229641,1,6,0.9945760460482621,FA1090,10819
1,462630,1,1,460497,1,0,1.0046319620583024,FA1090,1123850
471786,999842,1,536828,1123710,-1,1,0.899765199818703,FA1090,1123850
999879,1036080,1,494925,536825,1,2,0.8639856801909308,FA1090,1123850
1036085,1066546,1,464095,494886,-1,3,0.9892825825728297,FA1090,1123850
1085361,1115875,1,1288211,1318737,1,4,0.9996068924850947,FA1090,1123850
1115876,1220263,1,1182953,1287474,1,5,0.9987179609839171,FA1090,1123850
1220354,1257967,1,1144819,1182952,1,6,0.9863635171636116,FA1090,1123850
1257968,2155339,1,1318738,2217711,1,7,0.9982179665017749,FA1090,1123850
1,187651,1,1,187008,1,0,1.0034383739646109,FA1090,1130991
187652,460480,1,1306046,1580587,-1,1,0.993760494789485,FA1090,1130991
471786,1069401,1,637346,1301131,1,2,0.9003141077306658,FA1090,1130991
1084598,1105617,1,1651667,1672695,1,3,0.9995719992391098,FA1090,1130991
1110654,1149291,1,187011,225649,-1,4,0.9999741187432062,FA1090,1130991
1149292,1219617,1,1580591,1651050,1,5,0.9980981847599313,FA1090,1130991
1223533,1599132,1,234526,612422,-1,6,0.9939216080614772,FA1090,1130991
1603165,1717553,1,1672699,1787467,1,7,0.9966889725358985,FA1090,1130991
1717557,2039738,1,1793183,2121408,-1,8,0.981585802422119,FA1090,1130991
2039815,2039871,1,1792194,1792250,1,9,1.0,FA1090,1130991
2044942,2155339,1,2121777,2230471,1,10,1.01566783815114,FA1090,1130991
1,187641,1,1,188279,1,0,0.9966113937900339,FA1090,1145734
187644,461738,1,257346,533668,1,1,0.9919369431315639,FA1090,1145734
461744,469436,1,1535124,1542060,1,2,1.1089965397923875,FA1090,1145734
469440,1070308,1,542643,1149654,1,3,0.9898799198037598,FA1090,1145734
1084350,1148069,1,1547248,1610875,1,4,1.0014459270435507,FA1090,1145734
1149299,1217000,1,189514,257343,-1,5,0.9981129015612791,FA1090,1145734
1222642,1590043,1,1166424,1533938,1,6,0.9996925287199944,FA1090,1145734
1590989,1595263,1,534230,538790,1,7,0.9372807017543859,FA1090,1145734
1602102,1717276,1,1611356,1726478,1,8,1.0004516947238582,FA1090,1145734
1717284,2045573,1,1728478,2054828,-1,9,1.0059414738777386,FA1090,1145734
2047523,2155339,1,2055176,2163610,1,10,0.9943006805983363,FA1090,1145734
1,1000175,1,1,1056102,1,0,0.9470438906884853,FA1090,2004S05-027
1000234,1035745,1,1056107,1097395,-1,1,0.860080410773106,FA1090,2004S05-027
1036182,1065514,1,1098284,1128239,1,2,0.9792021365381406,FA1090,2004S05-027
1085437,1105449,1,1648214,1668246,1,3,0.9990015974440895,FA1090,2004S05-027
1108567,1115873,1,1291663,1298981,1,4,0.9983602077070238,FA1090,2004S05-027
1115876,1221490,1,1185206,1291659,1,5,0.9921185875456774,FA1090,2004S05-027
1222815,1257847,1,1149529,1185082,1,6,0.9853458217309369,FA1090,2004S05-027
1257970,1600723,1,1298985,1643228,1,7,0.9956716621688749,FA1090,2004S05-027
1602998,2155339,1,1668251,2226346,1,8,0.9896899273421191,FA1090,2004S05-027
1,187801,1,1,189441,1,0,0.9913429054054054,FA1090,2010C02-038
187804,469501,1,258514,541995,1,1,0.9937068092746957,FA1090,2010C02-038
471786,1065327,1,542032,1139952,-1,2,0.9926762777629115,FA1090,2010C02-038
1085361,1148069,1,1543884,1606632,1,3,0.9993625294830114,FA1090,2010C02-038
1149139,1218179,1,190059,258511,-1,4,1.0085899608484779,FA1090,2010C02-038
