DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	for_nanopore_sequencing
COLOR	#e95e0d

LEGEND_TITLE	for_nanopore_sequencing
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdb97d	#e95e0d
LEGEND_LABELS	N	Y

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
EEE048	#fdb97d	N
EEE049	#fdb97d	N
EEE050	#fdb97d	N
ERR855085	#fdb97d	N
ERR855357	#fdb97d	N
FA1090	#fdb97d	N
FA19	#fdb97d	N
FA6140	#fdb97d	N
FC428	#fdb97d	N
FDAARGOS_204	#fdb97d	N
FDAARGOS_205	#fdb97d	N
FDAARGOS_207	#fdb97d	N
FFF001	#fdb97d	N
FFF002	#fdb97d	N
FFF003	#fdb97d	N
FFF004	#e95e0d	Y
FFF005	#e95e0d	Y
FFF006	#fdb97d	N
FFF007	#fdb97d	N
FFF008	#fdb97d	N
FFF009	#e95e0d	Y
FFF010	#fdb97d	N
FFF011	#fdb97d	N
FFF012	#fdb97d	N
FFF013	#fdb97d	N
FFF014	#fdb97d	N
FFF015	#fdb97d	N
FFF016	#e95e0d	Y
FFF017	#fdb97d	N
FFF018	#fdb97d	N
FFF019	#fdb97d	N
FFF020	#fdb97d	N
FFF021	#fdb97d	N
FFF022	#fdb97d	N
FFF023	#fdb97d	N
FFF024	#fdb97d	N
FFF025	#e95e0d	Y
FFF026	#e95e0d	Y
FFF027	#e95e0d	Y
FFF028	#fdb97d	N
FFF029	#fdb97d	N
FFF030	#fdb97d	N
FFF031	#fdb97d	N
FFF032	#fdb97d	N
FFF033	#fdb97d	N
FFF034	#e95e0d	Y
FFF035	#fdb97d	N
FFF036	#fdb97d	N
FFF037	#fdb97d	N
FFF038	#fdb97d	N
FFF039	#fdb97d	N
FFF040	#fdb97d	N
FFF041	#fdb97d	N
FFF042	#fdb97d	N
FFF043	#fdb97d	N
FFF044	#e95e0d	Y
FFF045	#fdb97d	N
FFF046	#e95e0d	Y
FFF047	#e95e0d	Y
FFF048	#e95e0d	Y
FFF049	#fdb97d	N
FFF050	#fdb97d	N
FQ01	#fdb97d	N
FQ02	#fdb97d	N
FQ04	#fdb97d	N
FQ20	#fdb97d	N
FQ35	#fdb97d	N
FQ36	#fdb97d	N
FQ48	#fdb97d	N
FQ82	#fdb97d	N
FQ84	#fdb97d	N
GCGS0092	#fdb97d	N
GCGS0099	#fdb97d	N
GCGS0106	#fdb97d	N
GCGS0126	#fdb97d	N
GCGS0138	#fdb97d	N
GCGS0161	#fdb97d	N
GCGS0171	#fdb97d	N
GCGS0173	#fdb97d	N
GCGS0175	#fdb97d	N
GCGS0242	#fdb97d	N
GCGS0245	#fdb97d	N
GCGS0249	#fdb97d	N
GCGS0251	#fdb97d	N
GCGS0270	#fdb97d	N
GCGS0275	#fdb97d	N
GCGS0276	#fdb97d	N
GCGS0284	#fdb97d	N
GCGS0286	#fdb97d	N
GCGS0290	#fdb97d	N
GCGS0292	#fdb97d	N
GCGS0296	#fdb97d	N
GCGS0297	#fdb97d	N
GCGS0298	#fdb97d	N
GCGS0306	#fdb97d	N
GCGS0307	#fdb97d	N
GCGS0311	#fdb97d	N
GCGS0313	#fdb97d	N
GCGS0315	#fdb97d	N
GCGS0317	#fdb97d	N
GCGS0336	#fdb97d	N
GCGS0338	#fdb97d	N
GCGS0339	#fdb97d	N
GCGS0345	#fdb97d	N
GCGS0348	#fdb97d	N
GCGS0349	#fdb97d	N
GCGS0353	#fdb97d	N
GCGS0354	#fdb97d	N
GCGS0355	#fdb97d	N
GCGS0358	#fdb97d	N
GCGS0362	#fdb97d	N
GCGS0363	#fdb97d	N
GCGS0364	#fdb97d	N
GCGS0365	#fdb97d	N
GCGS0373	#e95e0d	Y
GCGS0374	#fdb97d	N
GCGS0375	#fdb97d	N
GCGS0377	#fdb97d	N
GCGS0394	#fdb97d	N
GCGS0400	#fdb97d	N
GCGS0402	#fdb97d	N
GCGS0403	#fdb97d	N
GCGS0404	#fdb97d	N
GCGS0405	#fdb97d	N
GCGS0406	#fdb97d	N
GCGS0407	#fdb97d	N
GCGS0417	#fdb97d	N
GCGS0423	#fdb97d	N
GCGS0431	#fdb97d	N
GCGS0432	#fdb97d	N
GCGS0436	#fdb97d	N
GCGS0439	#fdb97d	N
GCGS0440	#fdb97d	N
GCGS0449	#fdb97d	N
GCGS0454	#fdb97d	N
GCGS0457	#fdb97d	N
GCGS0460	#fdb97d	N
GCGS0465	#fdb97d	N
GCGS0471	#fdb97d	N
GCGS0472	#fdb97d	N
GCGS0473	#fdb97d	N
GCGS0481	#fdb97d	N
GCGS0485	#fdb97d	N
GCGS0489	#fdb97d	N
GCGS0497	#fdb97d	N
GCGS0501	#fdb97d	N
GCGS0522	#fdb97d	N
GCGS0524	#fdb97d	N
GCGS0525	#fdb97d	N
GCGS0530	#fdb97d	N
GCGS0536	#fdb97d	N
GCGS0537	#fdb97d	N
GCGS0543	#fdb97d	N
GCGS0546	#fdb97d	N
GCGS0547	#fdb97d	N
GCGS0550	#fdb97d	N
GCGS0560	#fdb97d	N
GCGS0561	#fdb97d	N
GCGS0562	#fdb97d	N
GCGS0566	#fdb97d	N
GCGS0572	#fdb97d	N
GCGS0573	#fdb97d	N
GCGS0574	#fdb97d	N
GCGS0575	#fdb97d	N
GCGS0576	#fdb97d	N
GCGS0580	#fdb97d	N
GCGS0587	#fdb97d	N
GCGS0604	#fdb97d	N
GCGS0605	#fdb97d	N
GCGS0610	#fdb97d	N
GCGS0611	#fdb97d	N
GCGS0615	#fdb97d	N
GCGS0616	#fdb97d	N
GCGS0619	#fdb97d	N
GCGS0620	#fdb97d	N
GCGS0627	#fdb97d	N
GCGS0647	#fdb97d	N
GCGS0658	#fdb97d	N
GCGS0668	#fdb97d	N
GCGS0671	#fdb97d	N
GCGS0672	#fdb97d	N
GCGS0698	#fdb97d	N
GCGS0702	#fdb97d	N
GCGS0708	#fdb97d	N
GCGS0709	#fdb97d	N
GCGS0726	#fdb97d	N
GCGS0734	#fdb97d	N
GCGS0736	#fdb97d	N
GCGS0745	#fdb97d	N
GCGS0749	#fdb97d	N
GCGS0757	#fdb97d	N
GCGS0759	#fdb97d	N
GCGS0763	#fdb97d	N
GCGS0765	#fdb97d	N
GCGS0766	#fdb97d	N
GCGS0769	#fdb97d	N
GCGS0777	#fdb97d	N
GCGS0781	#fdb97d	N
GCGS0782	#fdb97d	N
GCGS0790	#fdb97d	N
GCGS0791	#fdb97d	N
GCGS0807	#fdb97d	N
GCGS0812	#fdb97d	N
GCGS0820	#fdb97d	N
GCGS0821	#fdb97d	N
GCGS0834	#fdb97d	N
GCGS0838	#fdb97d	N
GCGS0849	#fdb97d	N
GCGS0850	#fdb97d	N
GCGS0853	#fdb97d	N
GCGS0857	#fdb97d	N
GCGS0860	#fdb97d	N
GCGS0862	#fdb97d	N
GCGS0864	#fdb97d	N
GCGS0870	#fdb97d	N
GCGS0872	#fdb97d	N
GCGS0876	#fdb97d	N
GCGS0877	#fdb97d	N
GCGS0878	#fdb97d	N
GCGS0879	#fdb97d	N
GCGS0880	#fdb97d	N
GCGS0881	#fdb97d	N
GCGS0883	#fdb97d	N
GCGS0894	#fdb97d	N
GCGS0903	#fdb97d	N
GCGS0905	#fdb97d	N
GCGS0906	#fdb97d	N
GCGS0912	#fdb97d	N
GCGS0914	#fdb97d	N
GCGS0920	#fdb97d	N
GCGS0922	#fdb97d	N
GCGS0923	#fdb97d	N
GCGS0926	#fdb97d	N
GCGS0927	#fdb97d	N
GCGS0929	#fdb97d	N
GCGS0932	#fdb97d	N
GCGS0933	#fdb97d	N
GCGS0934	#fdb97d	N
GCGS0938	#fdb97d	N
GCGS0943	#fdb97d	N
GCGS0944	#fdb97d	N
GCGS0959	#fdb97d	N
GCGS0960	#fdb97d	N
GCGS0961	#fdb97d	N
GCGS0962	#fdb97d	N
GCGS0978	#fdb97d	N
GCGS0980	#fdb97d	N
GCGS0982	#fdb97d	N
GCGS0983	#fdb97d	N
GCGS0984	#fdb97d	N
GCGS0985	#fdb97d	N
GCGS0996	#fdb97d	N
GCGS0997	#fdb97d	N
GCGS0998	#fdb97d	N
GCGS1006	#fdb97d	N
GCGS1007	#fdb97d	N
GCGS1013	#fdb97d	N
GCGS1014	#fdb97d	N
GCGS1026	#fdb97d	N
GCGS1029	#fdb97d	N
GCGS1035	#fdb97d	N
GCGS1043	#fdb97d	N
GCGS1045	#fdb97d	N
GCGS1048	#fdb97d	N
GCGS1055	#fdb97d	N
GCGS1095	#fdb97d	N
GCGS1096	#fdb97d	N
GCGS1097	#fdb97d	N
GCGS1103	#fdb97d	N
GCs11K	#fdb97d	N
GCs12L	#fdb97d	N
GCs13M	#fdb97d	N
GCs14N	#e95e0d	Y
GCs16P	#fdb97d	N
GCs18R	#fdb97d	N
GCs21U	#fdb97d	N
GCs22V	#fdb97d	N
GCs24X	#fdb97d	N
GCs30D	#fdb97d	N
GCs32F	#fdb97d	N
GCs33G	#fdb97d	N
GCs34H	#fdb97d	N
GCs35I	#fdb97d	N
GCs45S	#fdb97d	N
GCs46T	#fdb97d	N
GCs47U	#fdb97d	N
GCs48V	#fdb97d	N
GCs51Y	#fdb97d	N
GCs52Z	#fdb97d	N
GCs53B	#fdb97d	N
GCs54C	#fdb97d	N
GCs56E	#fdb97d	N
GGG002	#fdb97d	N
GGG005	#fdb97d	N
GGG006	#fdb97d	N
GGG007	#fdb97d	N
GGG008	#fdb97d	N
GGG009	#fdb97d	N
GGG010	#fdb97d	N
GGG012	#fdb97d	N
GGG014	#fdb97d	N
GGG015	#fdb97d	N
GGG016	#fdb97d	N
GGG017	#fdb97d	N
GGG018	#fdb97d	N
GGG019	#fdb97d	N
GGG020	#fdb97d	N
GGG021	#fdb97d	N
GGG022	#fdb97d	N
GGG023	#fdb97d	N
GGG024	#fdb97d	N
GGG026	#fdb97d	N
GGG028	#fdb97d	N
GGG031	#fdb97d	N
GGG032	#fdb97d	N
GGG033	#fdb97d	N
GGG034	#fdb97d	N
GGG035	#fdb97d	N
GGG036	#fdb97d	N
GGG037	#fdb97d	N
GGG038	#fdb97d	N
GGG039	#fdb97d	N
GGG040	#fdb97d	N
GGG041	#fdb97d	N
GGG042	#fdb97d	N
GGG043	#fdb97d	N
GGG045	#fdb97d	N
GGG046	#fdb97d	N
GGG047	#fdb97d	N
GGG048	#fdb97d	N
GGG049	#fdb97d	N
GGG050	#fdb97d	N
H035	#fdb97d	N
HHH001	#e95e0d	Y
HHH002	#fdb97d	N
HHH003	#fdb97d	N
HHH004	#fdb97d	N
HHH005	#fdb97d	N
HHH006	#fdb97d	N
HHH008	#fdb97d	N
HHH009	#e95e0d	Y
HHH010	#fdb97d	N
HHH011	#fdb97d	N
HHH012	#fdb97d	N
HHH013	#fdb97d	N
HHH014	#fdb97d	N
HHH015	#fdb97d	N
HHH016	#fdb97d	N
HHH017	#fdb97d	N
HHH018	#fdb97d	N
HHH020	#fdb97d	N
HHH021	#e95e0d	Y
HHH022	#fdb97d	N
HHH023	#fdb97d	N
HHH024	#fdb97d	N
HHH025	#fdb97d	N
HHH026	#fdb97d	N
HHH027	#fdb97d	N
HHH028	#fdb97d	N
HHH029	#fdb97d	N
HHH030	#fdb97d	N
HHH031	#fdb97d	N
HHH032	#fdb97d	N
HHH033	#fdb97d	N
HHH034	#fdb97d	N
HHH035	#fdb97d	N
HHH036	#fdb97d	N
HHH037	#fdb97d	N
HHH038	#fdb97d	N
HHH039	#fdb97d	N
HHH040	#fdb97d	N
HHH041	#fdb97d	N
HHH042	#fdb97d	N
HHH043	#fdb97d	N
HHH044	#fdb97d	N
HHH045	#fdb97d	N
HHH046	#fdb97d	N
JJJ001	#fdb97d	N
JJJ002	#fdb97d	N
JJJ003	#fdb97d	N
JJJ004	#fdb97d	N
JJJ005	#fdb97d	N
JJJ006	#fdb97d	N
JJJ007	#fdb97d	N
JJJ008	#fdb97d	N
JJJ009	#fdb97d	N
JJJ010	#e95e0d	Y
JJJ011	#fdb97d	N
JJJ012	#fdb97d	N
JJJ013	#fdb97d	N
JJJ014	#fdb97d	N
JJJ015	#fdb97d	N
JJJ016	#fdb97d	N
JJJ017	#fdb97d	N
JJJ018	#fdb97d	N
JJJ019	#fdb97d	N
JJJ020	#fdb97d	N
JJJ021	#fdb97d	N
JJJ022	#fdb97d	N
JJJ023	#e95e0d	Y
JJJ024	#e95e0d	Y
JJJ025	#fdb97d	N
MS11	#e95e0d	Y
NG196	#fdb97d	N
NG250	#fdb97d	N
NG251	#fdb97d	N
NG290	#fdb97d	N
Ng_102	#fdb97d	N
Ng_114	#fdb97d	N
Ng_118	#fdb97d	N
Ng_123	#fdb97d	N
Ng_126	#fdb97d	N
Ng_128	#fdb97d	N
Ng_129	#fdb97d	N
Ng_131	#fdb97d	N
Ng_133	#e95e0d	Y
Ng_134	#fdb97d	N
Ng_136	#fdb97d	N
Ng_140	#fdb97d	N
Ng_141	#fdb97d	N
Ng_144	#e95e0d	Y
Ng_148	#fdb97d	N
Ng_151	#fdb97d	N
Ng_154	#fdb97d	N
Ng_162	#fdb97d	N
Ng_163	#fdb97d	N
Ng_165	#fdb97d	N
Ng_171	#fdb97d	N
Ng_175	#fdb97d	N
Ng_176	#fdb97d	N
Ng_180	#fdb97d	N
Ng_183	#fdb97d	N
Ng_188	#fdb97d	N
Ng_25	#fdb97d	N
Ng_30	#fdb97d	N
Ng_54	#fdb97d	N
Ng_74	#fdb97d	N
Ng_91	#fdb97d	N
RIVM0610	#fdb97d	N
RIVM0640	#fdb97d	N
SE690	#fdb97d	N
SRR5827031	#fdb97d	N
SRR5827032	#fdb97d	N
SRR5827069	#fdb97d	N
SRR5827082	#fdb97d	N
SRR5827122	#fdb97d	N
SRR5827126	#fdb97d	N
SRR5827141	#fdb97d	N
SRR5827169	#fdb97d	N
SRR5827182	#e95e0d	Y
SRR5827204	#fdb97d	N
SRR5827228	#fdb97d	N
SRR5827236	#e95e0d	Y
SRR5827238	#e95e0d	Y
SRR5827260	#fdb97d	N
SRR5827283	#fdb97d	N
SRR5827295	#e95e0d	Y
SRR5827301	#e95e0d	Y
SRR5827318	#fdb97d	N
SRR5827322	#e95e0d	Y
SRR5827342	#fdb97d	N
SRR5827361	#e95e0d	Y
SRR5827369	#fdb97d	N
SRR5827373	#fdb97d	N
SRR5827375	#fdb97d	N
SRR5827412	#fdb97d	N
SRR5827413	#fdb97d	N
SRR8833282	#fdb97d	N
SRR8833283	#fdb97d	N
SRR8833284	#fdb97d	N
SRR8833288	#fdb97d	N
SRR8833289	#fdb97d	N
SRR8833290	#fdb97d	N
SRR8833291	#fdb97d	N
SRR8833292	#fdb97d	N
SRR8833294	#fdb97d	N
SRR8833297	#fdb97d	N
SRR8992476	#fdb97d	N
SRR8992477	#fdb97d	N
SRRSH203	#fdb97d	N
SRRSH204	#fdb97d	N
SRRSH205	#fdb97d	N
SRRSH207	#fdb97d	N
SRRSH214	#fdb97d	N
SRRSH229	#fdb97d	N
SRRSH240	#fdb97d	N
SS3160	#fdb97d	N
TFG-A2	#fdb97d	N
TFG-B2	#fdb97d	N
TUM15748	#fdb97d	N
TUM16691	#fdb97d	N
UMASS-DGI_1	#fdb97d	N
UMASS-DGI_10	#fdb97d	N
UMASS-DGI_11	#fdb97d	N
UMASS-DGI_13	#fdb97d	N
UMASS-DGI_14	#fdb97d	N
UMASS-DGI_18	#fdb97d	N
UMASS-DGI_19	#fdb97d	N
UMASS-DGI_2	#fdb97d	N
UMASS-DGI_20	#fdb97d	N
UMASS-DGI_21	#fdb97d	N
UMASS-DGI_24	#fdb97d	N
UMASS-DGI_25	#fdb97d	N
UMASS-DGI_26	#fdb97d	N
UMASS-DGI_27	#fdb97d	N
UMASS-DGI_29	#fdb97d	N
UMASS-DGI_3	#fdb97d	N
UMASS-DGI_33	#fdb97d	N
UMASS-DGI_34	#fdb97d	N
UMASS-DGI_36	#fdb97d	N
UMASS-DGI_37	#fdb97d	N
UMASS-DGI_38	#fdb97d	N
UMASS-DGI_4	#fdb97d	N
